,vegetables,fruits,legumes_and_tubers,beverages_and_drinks,fish_and_seafood,oils_and_fats,condiments_and_spices,grains_and_cereals,rice_products,dairy_products,meat_products,pastries,breads,eggs
10,Camote Morado,Melon,FRIJOL CHILENO,REFRESCO DE MARACUYA,Grated de Atun,MEZCLA LACTEA,Pimienta Molida,TRIGO,ARROZ CHAUFA CON HUEVO SA,LECHE DE SOYA DESLATOSADA,Higado de Res,GALLETA SODA ENVASADA,PAN CORRIENTE O COMUN,
11,Olluco,Sandia,FRIJOL CASTILLA,REFRESCO DE MAIZ MORADO,Filete de Atun,,Aji Mirasol,Avena Envasada,ARROZ CON LECHE,LECHE RECONSTITUIDA,Mondongo de Res,GALLETA SODA,PAN DE ACEITUNA,
12,Apio,Palta,FRIJOL UCAYALINO PRECOCID,REFRESCO,Grated de Sardina,,Aji Panca,Avena a Granel,ARROZ CON LECHE CON MAZAM,Queso Fresco de Vaca,Pata de Res,GALLETAS RELLENAS,PAN DE AJO,
13,Ajo Entero,CAIMITO,FRIJOL CHICLAYO,JUGO DE NARANJA,Lomito de Atun,,Clavo de Olor,Trigo Grano Entero,ARROZ SUPERIOR A GRANEL,Quesillo,Bofe de Res (pulmón),GALLETA DULCE,PAN DE MOLDE INTEGRAL,
14,Lechuga Americana,TORONJA,FRIJOL CANARIO,JUGO LICUADO DE FRUTAS,MARISCOS,,Oregano seco,Harina de Trigo(granel),,Queso Fresco Pasteurizado,Hueso de Res,GALLETA DE AGUA,PAN DE MOLDE INTEGRAL ENV,
15,Culantro,MARACUYÁ,FRIJOL PANAMITO,REFRESCO DE PIÑA,Choros,,ANÍS A GRANEL,Harina Preparada Envasada,,Queso Mantecoso,CARNE DE MAJAS,GALLETA A  GRANEL PARA PE,PAN DE YEMA CON SALCHICHA,
16,Poro,HIELO PARA AGREGAR A BEBI,FRIJOL CANARIO COCINADO,JUGO ENVASADO,Cangrejos,,AJÍ PANCA MOLIDO (ESPECIA,Harina Sin Preparar Envas,,QUESO EDAM,CARNE DE MAJAZ,BIZCOCHO RELLENO CON MANJ,PAN HAMBURGUESA,
17,Beterraga,AGUAJE,FRJIOL CANARIO COCINADO,NECTAR DE FRUTA,Camarones,,HOJA DE  LAUREL ENTERA  A,Maizena Envasada,,QUESO RAYADO PARMESANO,CARNE MAJAZ,BISCOCHUELO,PAN HAMBURGUESAS,
18,Pepinillo,MANGO,FRIJOL UCAYALINO,AGUA TRATADA,Pota,,HOJA DE LAUREL ENTERA  A,Semola Envasada,,QUESO FUNDIDO,CARNE DE CARACHUPA,BOMBON,PAN INTEGRAL TOSTADA ENVA,
19,Lechuga Criolla,SIDRA,FRIJOL COCINADO UCAYALINO,AGUA MINERAL,PESCADO PALOMETA,,HOJA ENTERA DE LAUREL,QUINUA,,Yogurt,CARNE DE HUANGANA,BOMBONES,PAN MOLDE INTEGRAL ENVASA,
20,Cebolla Roja de Cabeza,CURICHI,FRIJOL COCINADO CANARIO,JUGOS ENVASADOS,PESCADO SARDINA,,HOJA ENTERA DE GRANEL,Quinua Entera,,Crema de Leche,PELLEJO DE CHANCHO,TORTA DE CHOCALATE,PANETÓN,
21,Cebolla China,ESENCIA DE FRUTAS,FRIJOL PRECOCIDO,AGUA DE CEBADA,ATÚN EN SALSA DE TOMATE,,HOJA ENTERA DE LAUREL A G,Harina de Quinua,,YOGURT ENVASADO,PELLEJO DE RES,QUEQUE,Pan Corriente o común,
22,Cebolla de Cola,CARAMBOLA,FREJOL PRECOCIDO,EMOLIENTE PREPARADO,AJÍ CHARAPITA,,HOJA DE LAUREL A GRANEL,Harina de Arvejas,,MEZCLA LACTEA BONLE,CARNE DE SAJINO,,Pan Frances,
23,Tomate Regional,COCONA,FREJOL COCINADO,YOGURT,AJÍ DULCE,,HOJA DE LAUREL ENVASADO,Harina de Habas,,QUINUA AVENA,HIGADO ASADO PARA PERRO,,Pan Integral,
24,Tomate Italiano,AGUAJE MADURADO,LENTEJA COCIDO,CEREALES INSTANTANEOS,PESCADO ASADO,,LAUREL  ENTERO A GRANEL,Fideos a Granel,,QUINUA PREPARADA,PATITA DE POLLO,,Pan de Molde Envasado,
25,Tomate Redondo,MAMEY,LENTEJAS COCIDO,ARROZ CON POLLO,PESCADO BAGRE,,LAUREL A GRANEL,Fideos Envasados,,LECHE CONDENSADA,PATITA DE POLLO PARA PERR,,Pan de Yema,
26,Choclo Criollo,ATUN EN TROZOS,PAPITAS FRITAS ENVASADAS,NÉCTAR DE FRUTA,PESCADO BOQUICHICO SECO O,,HOJA DE HIGO,Fideos Chifa,,LECHE DE TIGRE,PATA DE POLLO,,Pan Tolete,
27,Choclo Serrano,UVOS,CAMOTE,MASATO EN MASA,PESCADO CARACHAMA,,HOJA DE HIGO PARA CHICHA,Fideos Tallarin Envasados,,LECHE EVAPORADA CON MIEL,PATA DE CHANCHO,,Pan Chapla,
28,Yuca Blanca,MANZANA WINTERS,CAMOTE PARA PERRO,MASATO SIN FERMENTAR,PESCADO CHAMBIRA,,HOJA DE PLÁTANO,FIDEOS MACARRON ENVASADO,,LECHE FRESCA ENVASADA (CA,PATÉ DE HÍGADO,,PAN DE ARBOL,
29,Yuca Amarilla,MANZANA DELICIA,EMPANADA DE YUCA,MASATO FERMENTADO,PESCADO CORVINA,,HOJA DE PLÁTANO O BIJAO P,FIDEO MACARRON,,,FILETE DE BONITO,,,
30,Limon,MANZANA ISRAEL,JUANE DE YUCA,BEBIDA REHIDRATANTE,PESCADO DONCELLA,,HOJA DE BIJAO PARA ENVOLT,FIDEO MACARRÓN,,,FILETE DE CABALLA,,,
31,CHOCLO DE LA REGIÓN,MANZANA,YUCA FRITA,BEBIDAS REHIDRATANTES,PESCADO FASACO,,KIÓN ENTERO,FIDEO TORNILLO ENVASADO,,,FILETE DE JUREL,,,
32,CHOCLO DESGRANADO,NARANJA,FRIJOL CANARIO COMBINADO,JUGO DE CAÑA,PESCADO GAMITANA,,SILLAO ENVASADO,FIDEO MACARRON ENVASADO,,,GRATED DE CABALLA,,,
33,CHOCLO PARA LORO,LIMA,LINAZA EN PEPA,JUGO DE FRUTAS LICUADO,PESCADO LLAMBINA,,SILLAO,FIDEO CODITO ENVASADO,,,GRATED DE ATUN,,,
34,AJO  ENTERO,PLÁTANO MANZANITO,FROJOL CHICLAYO COCIDO,MARCIANOS,PESCADO LLAMBINA FRESCO S,,SILLAO A GRANEL,ALIMENTO EN POLVO,,,GRATED DE ANCHOVETA EN SA,,,
35,PAPA CANCHAN,PLATANO CAPIRONA,,RASPADILLA,PESCADO MAPARATE,,VINAGRE ENVASADO,ALIMENTOS EN CUBITOS,,,ANCHOVETA EN SALSA DE TOM,,,
36,PAPA CANCHAY,PIJUAYO,,RASPADILLO,PESCADO NOVIA,,VINAGRE A GRANEL,ALIMENTOS EN POLVO,,,POLLO EVISCERADO,,,
37,PAPA YUNGAY,SACHAMANGO,,CAFE PARA PASAR ENVASADO,PESCADO PACO,,COMINO CON PIMIENTA ENVAS,ALIMENTOS ENVASADHOS PARA,,,Pollo Eviscerado,,,
38,VERDURA PICADA PARA ENSAL,PLATANO PILDORITO,,CHOCOLATE INSTANTÁNEO (MI,PESCADO PAICHE,,AZAFRÁN MOLIDO FRESCO A G,ALIMENTOS ENVASADOS PARA,,,Pollo en Pie o Vivo,,,
39,VERDURA PICADA PARA GUISO,PLÁTANO PALILLO,,CERVEZA,PESCADO PAICHE SECO,,COMINO CON PIMIENTA MOLID,AREPA,,,Gallina Eviscerada,,,
40,VERDURA PICADA PARA QUISO,PLATANO DE SEDA,,CHICHA MORADA,PESCADO RACTACARA,,COMINO CON PIMIENTA,ARROCILLO,,,Pechuga de Pollo,,,
41,VERDURA PICADA PARA SALTA,PLATANO BELLACO,,SOPA INSTANTANEA AJINO ME,PESCADO SABALO,,COMINO PIMIENTA ENVASADO,ARROCILLO A GRANEL,,,Pierna de Pollo,,,
42,VERDURA PICADA PARA SOPA,PLATANO SAPINO,,SOPAS INSTANTANEA. AJINO,PESCADO TUCUNARE,,COMINO PIMIENTA MOLIDO EN,ARROZ CHAUFA CON CHORIZO,,,Gallina en Pie o Vivo,,,
43,VERDURA PICADA PARA SUDAD,PLATANO MANZANA,,TÉ EN CAJA,PESCADO YARAQUI,,COMINO PIMIENTA ENVASADA,HARINA DE PLATANO,,,Menudencia de Pollo,,,
44,VERDURA PICADA PARA TALLA,PALTANO CAPIRONA,,TÉ-CANELA-CLAVO FILTRANTE,PESCADO YULILLA,,COMINOS Y PIMIENTA ENVASA,HARINA DE TRIGO A GRANEL,,,Hot Dog,,,
45,VERDURA PICADO PARA SOPA,DURAZNO,,UPE PARA TOMAR,PESCADO ZUNGARO,,PIMIENTA COMINO ENVASADO,HARINA DE TRIGO ENVASADA,,,Jamonada,,,
46,VERDURAS ENTERAS,ARANDANO,,UPE PREPARADO,PESCADO BONITO,,AJINO MEN,HARINA DE LINAZA,,,Tocino Ahumado,,,
47,ESPINACA,ZAPOTE,,UPI PREPARADO,PESCADO BOQUICHICO,,KETCHUP,HARINA DE MACA,,,Chorizo,,,
48,ESPINACA MOLIDA,SANDIA,,EXTRACTO DE FRUTAS,PESCADO ZUNGARO SECO SALA,,MOSTAZA,HARINA DE TRIGO,,,Jamon del País,,,
49,ESPINAZO DE PAICHE,TORTA,,GASEOSA,CAMARONCITO SECO (CHINO),,SALSA DE TOMATE,HARINA DE SOYA,,,Jamon Inglés,,,
50,ESPINAZO DE POLLO,CAMU-CAMU,,,PESCADO ACARAHUAZU,,SALSA DE TOMATE ENVASADO,HARINA DE TAPIOCA,,,POLLO EVISCERADO PARA PER,,,
51,PEPINO,TAPERIBA,,,PESCADO BUJURQUI,,PASTA DE TOMATE (TUCO),MEZCLA DE HARINAS,,,POLLO BROASTER,,,
52,PIMIENTON MOLIDO A GRANEL,GRANADILLA,,,PESCADO CABALLA SALADA O,,CONDIMENTO ENVASADO,SIETE HARINAS,,,POLLO A LA BRASA,,,
53,PAPA AMARILLA,FRESA,,,PESCADO AHUMADO CON TACAC,,CONDIMENTO ENVADASADO,Azucar Blanca,,,ALITAS DE POLLO,,,
54,PAPA BLANCA,FRESA CONGELADA,,,,,SAZONADOR ENVASADO,Azucar Rubia,,,POLLO A LA BRASA CON ARRO,,,
55,PAPA HUAYRO,CASTAÑAS,,,,,ADEREZO PREPARADO,ALBERJA CON CHOCLO,,,POLLO CON VÍSCERAS,,,
56,PARRILLADA,TAPERÍA,,,,,ADEREZO PARA GUISO,FIDEO ENVASADO PARA PERRO,,,GALLINA CON VÍSCERA,,,
57,RABANITO,PIQUEO ENVASADO,,,,,ADEREZO PARA POLLO,FIDEOS SPAGHETTI ENVASADO,,,GALLINA DE CORRAL EN PIE,,,
58,REPOLLO,ARAZA,,,,,ADEREZO DE POLLO ASADO,MACA,,,MENUDENCIA DE POLLO PARA,,,
59,VAINITA VERDE,COCO,,,,,ACHIOTE MOLIDO A GRANEL,MACA AVENA,,,MENUDENCIA DE POLLO,,,
60,ZANAHORIA,DURAZNO EN CONSERVA,,,,,AJO MOLIDO A GRANEL,MACA PREPARADA,,,CECINA DE CHANCHO,,,
61,ZANAHORIA DE LA REGION,NARANJA DE JUGO,,,,,CULANTRO MOLIDO ENVASADO,MACARRON,,,CHULETA DE CHANCHO,,,
62,ZANAHORIA PICADA,PACAY (GUABA),,,,,PIMENTON MOLIDO A GRANEL,HARINA DE PLÁTANO,,,CAVANOSSI,,,
63,ZAPALLO CRIOLLO,PLATANITO,,,,,NUEZ MOSCADA,MASA DE MASATO,,,HAMBURGUESA,,,
64,ZAPALLO DE CARGA,PLATANO MADURO,,,,,AZAFRÁN,MASA PARA JUANE,,,HAMBURGUESA CRUDA,,,
65,ZAPALLO DE LA REGIÓN,PLATANO VERDE,,,,,AZAFRÁN EN MASA,MAZAMORRA MORADA CON ARRO,,,HIGADO DE POLLO,,,
66,ZAPALLO PARA PERRO,PLÁTANO BISCOCHO (PLÁTANO,,,,,AZAFRÁN MOLIDO A GRANEL,Mazamorra Morada,,,HUESO DE POLLO PARA PERRO,,,
67,ARVEJA VERDE CON CASCARA,PLÁTANO MADURO,,,,,ALBAHACA,Maiz,,,Hamburguesa,,,
68,ARVEJA VERDE DESGRANADA,MANZANA CHILENA,,,,,SACHA-CULANTRO,CEBADA EN GRANO ENTERO,,,MENSI,,,
69,,CASCARA DE PIÑA,,,,,ALGARROBINA,CEBADA TOSTADA INSTANTANE,,,MENUDENCIAS DE GALLINA,,,
70,,CAÑA DULCE,,,,,ESENCIA DE COCONA,CHUÑO,,,MILANESA DE POLLO CRUDO,,,
71,,CAMOTE AMARILLO,,,,,ESENCIA DE CEBADA,FEDIO MACARRON,,,MIXTURA DE MARISCOS,,,
72,,CAMOTE MORADO,,,,,ESENCIA DE MARACUYA,POLVO DE HORNEAR,,,MOLLEJITA,,,
73,,Canela entera,,,,,ESENCIA DE MAIZ MORADO,QUINUA ENTERA,,,MONDONGO PARA PERRO,,,
74,,Fariña,,,,,ESENCIA DE COCOCNA,ROSCAVDE AMOLDON,,,PATE DE POLLO PARA PERRO,,,
75,,GUABA PARA MONO,,,,,ESENCIA DE MAZI MORADO,ROSQUITA DE ALMIDON,,,PATE EN LATA ENVASADA,,,
76,,LIMON,,,,,ESCENCIA DE MAIZ MORADO,ROSQUITAS AZUCARADAS,,,PATE PARA GATO,,,
77,,LIMÓN DULCE,,,,,ESCENCIA DE CEBADA,ROSQUITAS DE ALMIDON,,,PATE PARA PERRO,,,
78,,PIJUAYO COCIDO,,,,,ESENFIA D MAIZ MORADSO,ROSQUITAS DEALMIDON,,,PATÉ DE HÍGADO DE POLLO,,,
79,,POMARROSA,,,,,ACEITUNA NEGRA,TRIGOR (TRIGO CHANCADO),,,Pollo a la Brasa,,,
80,,PALTA,,,,,ACEITUNA VERDE,TOSTADAS A GRANEL,,,CABEZA DE POLLO PARA PERR,,,
81,,PAPAYA,,,,,Aceituna Negra,ALMUERZO,,,CACHITO,,,
82,,PEPINILLO,,,,,AJO EN POLVO ENVASADO,ALPISTE,,,CAIGUA,,,
83,,PLATANO DE LA ISLA,,,,,AJONJOLÍ,ANÍS FILTRANTE,,,CALABRESA,,,
84,,SHIMBILLO,,,,,AJÍ AMARILLO (ESCABECHE),AVENA CON MACA,,,CALABREZA,,,
85,,SUPLEMENTO NUTRICIONAL,,,,,AJÍ AMARILLO MOLIDO,AVENA INTEGRAL A GRANEL,,,POLLADA,,,
86,,UVA,,,,,AJI NO MOTO ENVASADO,AVENA PREPARADA (QUAKER),,,POLLO A LA BRAZA ARROZ CH,,,
87,,,,,,,Anticuchos,,,,POLLO BROSTER,,,
88,,,,,,,MANI TOSTADO MOLIDO,,,,PECHUGA DE POLLO,,,
89,,,,,,,MANÍ CON CÁSCARA,,,,SALCHICHA,,,
90,,,,,,,MANÍ PELADO CRUDO,,,,SALCHIPAPA,,,
91,,,,,,,MANZANILLA EN RAMA PARA I,,,,SARDINA DE SALSA DE TOMAT,,,
92,,,,,,,MANZANILLA FILTRANTE,,,,SARDINA EN SALSA DE TOMAT,,,
93,,,,,,,PALILLO A GRANEL,,,,SURI CRUDO,,,
94,,,,,,,COMINO PIMIENTA MOLIDO,,,,TACACHO,,,
95,,,,,,,ESCENCIA DE FRUTA,,,,TORTA DE CHOCOLATE,,,
96,,,,,,,HOJA  DE LAUREL ENTERA  A,,,,TORTA DE GALLETA,,,
97,,,,,,,HOJA DE GUANABANA PARA IN,,,,Tamales,,,
98,,,,,,,HOJA DE LAUREL ENTERA A G,,,,,,,
99,,,,,,,HOJUELA DE AVENA,,,,,,,
100,,,,,,,HOJUELA DE MAIZ,,,,,,,
101,,,,,,,HONGOS Y LAUREL A GRANEL,,,,,,,
102,,,,,,,HONGOS Y LAUREL ENVASADO,,,,,,,
103,,,,,,,SILLAO ENVASASO,,,,,,,
104,,,,,,,CALDO DE GALLINA,,,,,,,
105,,,,,,,ENDULZANTE NATURAL STEVIA,,,,,,,
106,,,,,,,GUISADOR,,,,,,,
107,,,,,,,GUISADOR A GRANEL,,,,,,,
108,,,,,,,GUISADOR FRESCO MOLIDO A,,,,,,,
109,,,,,,,GUISADOR MOLIDO A GRANEL,,,,,,,
110,,,,,,,HIERBA LUISA EN RAMA PARA,,,,,,,
111,,,,,,,HIERBA LUISA FILTRANTE,,,,,,,
112,,,,,,,HIERBABUENA,,,,,,,
113,,,,,,,HUACATAY,,,,,,,
114,,,,,,,LAUREL ENTERO A GRANEL,,,,,,,
115,,,,,,,TUCO SIBARITA,,,,,,,
116,,,,,,,HIERBAS EN RAMAS PARA INF,,,,,,,
117,,,,,,,,MAIZ TOSTADO CANCHA,,,,,,
118,,,,,PESCADO DE TILAPIA,,,,,,,,,
119,,,,,,,,MAIZ ESPEJILLADO,,,,,,
120,,,,,,,AJI CHUNCHO,,,,,,,
121,,,,,,,,MAIZ PLOMO CANCHA,,,,,,
122,,,,,,,AJI NOMOTO ENVASADO,,,,,,,
123,,,,,,,,,,,,,PAN TORATA,
124,,,,,,,,ROSQUILA DE HARINA,,,,,,
125,,,,,,,,,,,SANGRE DE AVES PARA PERRO,,,
126,,,,,,,AJI PANCA MOLIDO ESPECIAL,,,,,,,
127,,,,ROSCA DE AGUA,,,,,,,,,,
128,,,,,,,,,,,RESIDUOS DE MAIZ PARA PER,,,
129,,,,,,,AZAFRAN MOLIDO AGRANEL,,,,,,,
130,,,,,,,,PANCADE MAIZ,,,,,,
131,,,FRIJOL SOL DE ORO,,,,,,,,,,,
132,PAPA CON HUEVO SANCOCHADO,,,,,,,,,,,,,
133,PAPA COMUN,,,,,,,,,,,,,
134,,,,,,,,,,,POLLO CON VISCERA,,,
135,,,,,,,,,,,FILETE PECHUGA DE POLLO,,,
136,,,,,,,,MAIZ PELADO MOTE PRECOCID,,,,,,
137,,,MOTE BLANCO Y FRIJOL COCI,,,,,,,,,,,
138,,,,,,,ORÉGANO MOLIDO ENVASADA,,,,,,,
139,,,,,PESCADO ARAHUANA SECO,,,,,,,,,
140,,,,,,,,,,,CARNE DE RES PULPA,,,
141,,,,,,,LLICTA EN RAMA PARA INFUS,,,,,,,
142,,,,,,,PALILLO  MOLIDO A GRANEL,,,,,,,
143,,,,,,,,,,,FILTRAFA PARA PERROS,,,
144,,,FRIJOL HUASCA SECO,,,,,,,,,,,
145,,,,,,,,,,,PAN PARA PERRO GATO,,,
146,,,,AGUADITO,,,,,,,,,,
147,,,,,,,,,,,,,PAN GALLETA,
148,,,,,,,PANQUITA AJI COLORADO,,,,,,,
149,,,,,,,,,,,PICANTE DE POLLO,,,
150,,,,,,,,,,,GRANILLO PARA PERRO,,,
151,,,,,,,,,,,HAMBURGUESAS DE POLLO,,,
152,,,,,,,,,,,CHICHA DE JORA FRESCO,,,
153,,,,,,,,,,,CARNE PARA GUISO,,,
154,,,,,,,,,,,LOMO DE POLLO PARA PERRO,,,
155,,,,,PESCADO PEJE,,,,,,,,,
156,,,,,,,,,,,CHULETA DE CARNE DE RES,,,
157,PAPA FRITAS,,,,,,,,,,,,,
158,,,,,,,ANIS DEL CAMPO EN RAMAS P,,,,,,,
159,,,,,,,,,,,FRIJOL DE PALO FRESCO,,,
160,TALLARINES VERDES,,,,,,,,,,,,,
161,,,,,,,,HARINA DE CEREALES,,,,,,
162,,,,,PESCADO FASACO SECO SALAD,,,,,,,,,
163,,,,,,,,,,,,,PAN DE CEMA,
164,,,,,,,HIERBABUENA EN RAMA PARA,,,,,,,
165,,,,,PESCADO AGUARACHI,,,,,,,,,
166,,,,,,,,,,,,,PAN FRANCES,
167,PAPAS FRITA,,,,,,,,,,,,,
168,,,,,,,,,,,,,PAN DE COLISA,
169,,,,,PESCADO ESPADA,,,,,,,,,
170,,,,,,,AJI PANCA EN POLVO MOLIDO,,,,,,,
171,,,,,,,,HARINA DE TRIGO SIN PREPA,,,,,,
172,,,,,,,,HARINA DE. HABA A GRANEL,,,,,,
173,,,,,,,,,,,MOLLEJAS DE POLLO ENVASAD,,,
174,,,,,,,,,,,BASO DE RES,,,
175,,,FRIJOL BLANCO PRECOCIDA,,,,,,,,,,,
176,,,,,,,,,,,FIDEOS PARA PERROS,,,
177,,,,,,,,,,,MILANESA DE POLLO,,,
178,ARVERJITA VERDE PRECOCIDA,,,,,,,,,,,,,
179,,,,,,,,,,,,,PAN AMERICANO,
180,,,FRIJOL CHAUCHA,,,,,,,,,,,
181,,,,,,,MENTA CON MUÑA EN RAMA PA,,,,,,,
182,,,,,PESCADO PEJE BLANCO,,,,,,,,,
183,,,,,PESCADO CHAUCHIA,,,,,,,,,
184,,,,,,,,,,,MENUDENCIAS DE POLLO,,,
185,HABA VERDE EN CASCARA,,,,,,,,,,,,,
186,,,,,,,,HARINA A GRANEL SIN PREPA,,,,,,
187,,,,,,,,MAIZ CANCHA SALADA,,,,,,
188,,,,,,,,HARINA DE KAÑIUACO,,,,,,
189,,,,,,,,HARINA SIN PREPAR A GRANE,,,,,,
190,,,,,,,,CHICHA DE BLANCA DE MAIZ,,,,,,
191,,,,,,,HIERBABUENA EN RAMA,,,,,,,
192,,,,,,,,,,,LECHE FRESCA ENVASADO,,,
193,,,,,,,,HARINA DE GARBANZO,,,,,,
194,,,,,,,,,,,POLLO A LA BRASA CON PAPA,,,
195,,,,,,,,HARINA DE MACA ENVASADA,,,,,,
196,,,,,,,AJI MISHME,,,,,,,
197,,,,,,,,HARINA DE AJONJOLI,,,,,,
198,,,,,"PESCADO FRITO CON ARROZ,",,,,,,,,,
199,,,,PULPA DE AGUAJE,,,,,,,,,,
200,,,,,,,AJONJOLÍ MOLIDO A GRANEL,,,,,,,
201,,,,,,,,,,,PAN POPULAR PARA PERRO,,,
202,,,,,,,,MAIZ PARTIDO PARA AVE DE.,,,,,,
203,,,,,,,COLA Y CABALLO EN RAMA PA,,,,,,,
204,,,,,,,,,,,MAIZ MOROCHO PARA PERRO,,,
205,,,,,,,,HARINA DE CEBADA,,,,,,
206,,,,,PESCADO BARBON SECO SALAD,,,,,,,,,
207,,,,,,,OREGANO MOLIDO GRANEL,,,,,,,
208,,,,,,,,MAIZENA ENVASADA,,,,,,
209,,,FRIJOL DE PALO PRECOCIDO,,,,,,,,,,,
210,,,,,,,,,,,,,PAN DE CHUPACA,
211,,,,,,,,,,,SALCHIPOLLO,,,
212,,,,,,,,,,,HECHIZO PARA PERRO,,,
213,,,,GALLETA DE AGUA RNVASADAS,,,,,,,,,,
214,,,,,,,,,,,CORAZON DE CARNERO,,,
215,,,,,,,,,,,CARNE DE CARNERO,,,
216,,,,,,,ACELGA EN RAMA,,,,,,,
217,,,,,,,,,,,CHEESTRES,,,
218,,,,,,,,,,,,,EMPANADA DULCE,
219,,,,,,,,HARINA DE CEBADA TOSTADA,,,,,,
220,,,,,,,CAFE TOSTADO MOLIDO ENVAS,,,,,,,
221,,,FRIJOL VAQUITA SECO,,,,,,,,,,,
222,,,,,PESCADO ACARAHUASU,,,,,,,,,
223,,,FRIJOL BAYO SECO,,,,,,,,,,,
224,,,,,,,,HARINA DE CACAO,,,,,,
225,,,,,,,,HARINA DE MACA TOSTADO A,,,,,,
226,POLLI PAPA,,,,,,,,,,,,,
227,,,,,,,,HARINA DE CHUÑO A GRANEL,,,,,,
228,,,,,,,,,,,ALITA DE POLLO,,,
229,,,,,,,,,,,,,PANCHO,
230,,,,,,,,,,,CARNE PICADA DE RES,,,
231,,,,,,,,MAIZ REVENTÓN,,,,,,
232,,,,,,,,,,,CARNE DE RES PARA GUISÓ,,,
233,,,,,,,,,,,MOLLEJITA DE POLLO,,,
234,,,,,,,,,,,PATITA DE POLLO BROASTER,,,
235,,,,,,,AJI PANCA SECO MOLIDO ENV,,,,,,,
236,,,,,,,ESCORCENA EN RAMA PARA IN,,,,,,,
237,,,,,,,,,,,ANTICUCHO DE PRESAS DE PO,,,
238,,,,,,,,,,,QUESO FRESCO DE VACA,,,
239,TALLARIN CEVICHE Y PAPA A,,,,,,,,,,,,,
240,,,,,,,,,,,SALCHICHA DE POLLO,,,
241,,,,,,,,,,,LECHE DE VACA PARA PERRO,,,
242,,,,,,,,,,,GUISO DE POLLO CON ARROZ,,,
243,,,,,,,,,,,,,PAN DE ARBOL COCIDO,
244,,,,,,,,,,,,,PAN MICA,
245,,,,,,,,,,,TRIPA DE RES,,,
246,,,,,,,,,,,RIÑON DE RES,,,
247,,,,,,,,MAIZ AMARILLO CANCHA DE A,,,,,,
248,,,,,,,,HARINA DE MACHICA,,,,,,
249,,,,,,,,HARINA SIN PREPARA GRANEL,,,,,,
